Overview,book,pages,text type,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,genre,theme/topic,subgenre,cultural experience 
,The Odyssey,384,epic poem,An epic poem that follows the adventures of Odysseus as he struggles to return home after the Trojan War. ,Homer,1614,,,Very Complex,Exceedingly complex,Exceedingly Complex,Very complex ,,1310,11,10.3,9-12th grade,,"epic, poetry","the power of the mind, the danger of temptation","mythology, fable, allegory, adventure, classic, dramatic, homecoming",
,Night,116,novel ,"A memoir that recounts the Elie Wiesel's experiences as a Jewish teenager during the Holocaust, which included the loss of family, starvation, violence, and the threat of death. ",Elie Wiesel,1956,,,Very Complex,Moderately Complex,Moderately Complex,Very complex ,,570,5.34,4.8,7-12th grade,,autobiography,"silence,  prejudice, loss of innocence","non-fiction, memoir, tradegy, hisorical fiction, hardship, somber, bewildering ",Holocaust/Jewish
,The Crucible,154,novel ,"A play that explores the hysteria and paranoia that grip the Puritan town of Salem, Massachusetts, after a group of young girls is caught dancing in the woods, leading to executions because of fear, personal vendettas, and the town’s rigid religious beliefs. ",Arthur Miller ,1953,,,Very Complex,Moderately Complex,Very Complex,Exceedingly Complex,,1320,7,4.9,9-12th grade,,"classic, drama","mass hysteria, faith vs. knowledge","tradegy, historical, supernatural, allegory, dramatic, vendetta",
,The Scarlet Letter,175,novel ,"Hester Prynne bears an illegitimate child and is condemned to wear a scarlet letter ""A"" on her chest as a symbol of her adultery, but remains strong and dignified eve in the harshness of Puritanical society. ",Nathaniel Hawthorne,1850,,,Very Complex,Exceedingly complex,Exceedingly Complex ,Very complex ,,1340,8,11.7,10-12th grade,,dark romanticism,"judgement,personal and public truth","gothic, historical fiction, allegory, dystopian, classics, gender",
,Huckleberry Finn,362,novel ,"Huck travels the Mississippi River with Jim, a runaway slave, and has to grapple with his conscience and societal norms, as he begins to see Jim as a friend and equal.",Mark Twain,1884,,,Very Complex,Very Complex,Very Complex,Very complex ,,980,10,6.6,8-12th grade,,"adventure, fiction","facing racism, independence","satire, picaresque, coming of age, classic, historical, friendship",
,Grapes of Wrath,464,novel ,"The novel portrays the Joad's struggle for dignity and justice amid harsh conditions, as they travel from Oklahoma to California during the Great Depression. ",John Steinbeck,1939,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,680,7.8,4.9,10-12th grade,,"historical, fiction","Inhumanity towards others, perserverance","realism, naturalism, social change, moving, thought-provoking",
,Speak,197,novel ,"After growing withdran after a traumatic event at a summer paper, Melinda must learn how to reclaim her voice by confronting her trauma and expressing herself. ",Laurie Halse Anderson,1999,,,Very Complex,Moderately Complex,Moderately Complex,Very complex ,,690,5,4.5,7-10th grade,,"realistic, fiction","isolation, identity ","coming of age, trauma, young adult literature, friendship, guilt",
,Hamlet,352,drama,"A tragedy that follows Prince Hamlet's quest for revenge, where his turbulent behavior leads to madness and death all around him. ",William Shakespeare,1603,,,Very Complex,Very Complex,Exceedingly Complex ,Very complex ,,800,9,10.5,8-12th grade,,"classic, drama","revenge, mortality ","tradegy, european, supernatural, gender, madness, family and grief, doubt",
,Frankenstein,280,novel ,"Victor Frankenstein creates Frankenstein during a scientific experiement, and has to face the consequences of his ambition when Frankenstein seeks revenge against him. ",Mary Shelley ,1818,,,Very Complex,Exceedingly complex,Exceedingly Complex , Very Complex,,1040,9.6,12.4,10-12th grade,,"gothic, fiction","prejudice, isolation","science fiction, horror, romantic, nature, free will, exploration, knowledge ",
,Beowulf,252,epic poem,"The story of a Scandinavian hero, Beowulf, who defeats the monster Grendel, Grendel's mother, and a dragon, but dies soon after, with both honor and respect from others. ",Unknown,1815,,,Very Complex,Exceedingly complex,Exceedingly Complex,Very Complex,,1090,10,10.4,11-12th grade,,"epic, poetry","the value of reputation, courage","elegy, fantasy, war, classic, medieval, dramatic, tragic",
,Canterbury Tales,528,novel ,"A collection of stories told by a group of pilgrims on their journey to the shrine of Saint Thomas Becket in Canterbury. Each pilgrim agrees to tell tales to pass the time, clueing the reader into what medieval society looked like. ",Geoffrey Chaucer,1392,,,Very Complex,Exceedingly complex,Exceedingly complex ,Very Complex,,1000,9,8.1,9-12th grade,,frame narrative,"deceit, social status","social satire, fables, romance, allegory, poetry",
,Brave New World,384,novel ,"The governement prioritizes stability and happiness over individuality and freedom, but two men from different backgrounds grapple with the consequences of a world that sacrifices humanity for the sake of order and pleasure. ",Aldous Huxley,1932,,,Very Complex,Exceedingly complex,Very Complex,Very Complex,,870,11,7.5,9-12th grade,,"dystopian, fiction","Totalitarianism, the cost of happiness and individuality","science fiction, thought-provoking, oppression, satire, dehumanization",
,Thousand Splendid Suns,432,novel ,"A Thousand Splendid Suns is at once an incredible chronicle of thirty years of Afghan history and a deeply moving story of family, friendship, faith, and the salvation to be found in love.",Khaled Hosseini,2008,,,very complex,very complex,very complex,very complex,,830,7.03,5.4,10-12th grade,,"realistic, fiction","tradition, sacrifice for family","bleak, haunting, dramatic, thought-provoking, families ",Asian/ South Asian
,Woman Hollering Creek and Other Stories,165,novel ,"A collection of stories, whose characters give voice to the vibrant and varied life on both sides of the Mexican border. The women in these stories offer tales of pure discovery, filled with moments of infinite and intimate wisdom.",Sandra Cisneros,1991,,,very complex,moderately complex,very complex,moderately complex,,960,6.01,5.7,6-9th grade,,"realistic, fiction, vignette","gender, tradition","tragic, dramatic, hopeful, perseverance ",Latine/ US Canada/ Latin America
,Invisible Man ,581,novel ," In this deeply compelling novel and epic milestone of American literature, a nameless narrator tells his story from the basement lair of the Invisible Man he imagines himself to be.  ",Ralph Ellison,1952,,,very complex,very complex,very complex,very complex,,950,7.01,7.2,9-12th grade,,"fiction, bildungsroman","race, identity, coming-of-age","frank, sardonic, surreal, disillusionment, bewildering",African American
,The Color Purple,288,novel ,"The Color Purple is the story of two sisters--one a missionary to Africa and the other a child wife living in the South--who remain loyal to one another across time, distance, and silence. ",Alice Walker,1982,,,very complex,exceedingly complex,very complex,very complex,,670,5.3,5.14,10-12th grade,,"historical, fiction","abuse, race, identity","tragic, hardship, somber, hopeful  ",African American
,Things Fall Apart,224,novel ,"Things Fall Apart tells the story of Okonkwo, whose resistance to cultural change and fear of weakness leads to his tragic downfall amidst the upheaval of European colonialism and the collapse of traditional Igbo society.",Chinua Achebe,1958,,,very complex,very complex ,very complex,very complex,,890,9,6.2,9-10th grade,,"historical, fiction","tradition, pride, generational divide","tradegy, african, colonialism, indigenous, loss, isolation, fear, classic",African 
,Poet X,384,novel ,"The Poet X follows Xiomara Batista as she discovers her voice and identity through poetry and navigates the tensions of family, faith, and self-expression she experiences during her teenage years. ",Elizabeth Acevedo,2018,,,very complex,very complex,Moderately Complex,Moderately Complex,,800,3.6,4.2,7-12th grade ,,Poetry,"identity, sexuality, the power of voice","young adult, realistic fiction, coming of age",Dominican American
,Night,116,novel ,"A memoir that recounts the Elie Wiesel's experiences as a Jewish teenager during the Holocaust, which included the loss of family, starvation, violence, and the threat of death. ",Elie Wiesel ,1956,,,Very Complex,Moderately Complex,Moderately Complex,Very complex ,,570,5.34,4.8,7-12th grade,,autobiography,"silence,  prejudice, loss of innocence","non-fiction, memoir, tradegy, historical fiction, hardship, somber, bewildering ",Holocaust/Jewish
,The Hate U Give,480,novel ,"Starr Carter witnesses the police shooting of her unarmed friend and faces the challenges of navigating the traumatic aftermath, and the need to speak out for justice.",Angie Thomas ,2017,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,590,5.34,3.9,9-12th grade,,"realistic, fiction ","racial inequality, the power of voice, identity, community ","young adult, contemporary, coming of age, drama",African American
,Invisible Man ,581,novel ,"In this deeply compelling novel and epic milestone of American literature, a nameless narrator tells his story from the basement lair of the Invisible Man he imagines himself to be.  ",Ralph Ellison ,1952,,,very complex,very complex,very complex,very complex,,950,7.01,7.2,9-12th grade,,"fiction, bildungsroman","race, identity, coming-of-age","frank, sardonic, surreal, disillusionment, bewildering",African American
,Just Mercy,336,novel ,"A first-person account of a defense lawyer's experience helping marginalized Americans who have been unfairly and harshly punished by the U.S. criminal justice system. At the heart of Just Mercy is the story of Walter McMillian, a Black man who was framed for the murder, convicted, and sent to death row. ",Bryan Stevenson ,2014,,,Very Complex,Moderately Complex,Very Complex,Very complex,,1130,7.5,9,10-12th grade,,Memoir ,"systemic racsim, advocacy, corruption","drama, thought-provoking, empathy, resilience, opression",African American
,Metamorphosis,64,novella,"Gregor Samsa wakes up one morning transformed into a cockroach, and must navigate the emotional and social struggles he faces as his family reacts to his change and his sense of identity unravels.",Franz Kafka,1915,,,Very Complex,Moderately Complex,Very Complex,Moderately Complex,,1340,11,10.5,10-12th grade,,"psychological, fiction","Isolation, identity, disconnection between body and mind","Novella, short fiction, fantasy, bewildering, disillusionment",
,Persepolis,160, graphic novel,"A graphic novel that chronicles the author's childhood and early adulthood in Iran during and after the Islamic Revolution, and the struggles of growing up in a politically turbulent environment.",Marjane Satrapi,2000,,,Very Complex,Moderately Complex,Moderately Complex,Exceedingly Complex,,380,4.6,3.3,9-12th grade,,Memoir ,"Identity, resilience, religious oppression, gender roles ","coming of age, graphic novel, historical fiction, drama, social change ",Middle Eastern
,Their Eyes Were Watching God,219,novel,"Their Eyes Were Watching God follows Janie Crawford as she reflects on her three marriages and personal journey toward self-discovery, independence, and love in the 20th century South. ",Zora Neale Hurston,1937,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,890,7.9,10,11-12th grade,,"fiction, bildungsroman","The impact of love on identity, racial inequality, gender roles ","historical fiction, classic, feminism, empowerment, hopeful",African American
,Pride & Prejudice,254,novel,"Elizabeth Bennet, an intelligent and independent young woman, must navigate societal expectations, love, and misunderstandings with the proud and wealthy Mr. Darcy, ultimately leading to mutual respect and love.",Jane Austen,1813,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,1030,8,12,9-12th grade,,"classic, drama","social status, prejudice, the value of reputation, sacrafice for family","romantic, satire, historical, gender roles ",
,Kite Runner,344,novel,"The Kite Runner tells the story of Amir, a young boy from Kabul, who struggles with guilt and redemption after betraying his childhood friend Hassan, and later returns to Afghanistan to confront his past and seek forgiveness.",Khaled Hosseini,2003,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,840,6.8,5.2,7-12th grade,,"fiction, bildungsroman","Friendship, betrayal, violence with power ","historical fiction, drama, realism, resilience, guilt ",Afghan
,Things they carried,256,novel,"A collection of interconnected short stories that follows a group of soldiers serving in the Vietnam War, focusing on their experiences, the physical and emotional burdens they carry, and the impact of the war on their lives.",Tim O'Brien,1990,,,Very Complex,Very Complex,Very Complex,Very Complex,,880,9,5.8,9-12th grade,,"historical, fiction","morality in war, burdens of war, the power of voice ","classics, war, short stories, drama, psychological fiction, guilt",
,Catch 22,463,novel,"A World War II bombardier desperately tries to stay sane and survive the war while navigating the illogical and absurd military regulations, particularly the paradoxical ""Catch-22"" that prevents him from being grounded.",Joseph Heller,1961,,,Very Complex,Very Complex,Very Complex,Very Complex,,1140,9,7.1,10-12th grade,,"historical, fiction","logical paradox,  altruism vs. self-interest, burdens of war ","war, satire, dark, bewildering, hardship, humor, drama",
,All Quiet on the Western Front ,240,novel,"A young German soldier who, along with his classmates, enlists in World War I, only to face the brutal realities of trench warfare, the loss of comrades, and the profound disillusionment with the ideals that led them to war.",Erich Maria Remarque,1928,,,Very Complex,Very Complex,Very Complex,Very Complex,,830,9,6,9-12th grade,,"historical, fiction","burdens of war, technological advancements, friendship","war, classics, disillusionment, dark, hardship, bewildering ",
,A Tale of Two Cities,448,novel,"Set during the French Revolution, this novel follows the intertwined lives of Charles Darnay, a French aristocrat, and Sydney Carton, an English lawyer, as they navigate love, sacrifice, and redemption amidst the chaos of revolution and vengeance.",Charles Dickens ,1859,,,Very Complex,Very Complex,Very Complex,Very Complex,,1130,9,9.7,10-12th grade,,classic ,"Social status, sacrifice, duality","historical fiction, revolution, hopeful, tradegy",
,Catcher in the Rye,288,novel,"A coming-of-age novel that follows the cynical and disenchanted teenager Holden Caulfield as he wanders New York City, grappling with grief, alienation, and his desire to protect the innocence of childhood.",J.D. Salinger,1951,,,Very Complex,Moderately Complex,Very Complex,Moderately Complex,,790,9,4.7,9-12th grade,,"fiction, bildungsroman","loss of innocence, alienation, phoniness","disillusionment, coming of age, young adult, classic",
,Jane Eyre,536,novel,"A Gothic romance that follows the resilient and independent Jane as she overcomes a harsh childhood, confronts social expectations, and navigates a tumultuous love, ultimately seeking a balance between passion and self-respect.",Charlotte Bronte,1847,,,Moderately Complex,Moderately Complex,Very Complex,Very Complex,,870,10.1,7.9,9-12th grade,,classic,"love vs. hate, social class, gender roles ","gothic, historical fiction, romantic, bildungsroman, coming of age",
,Great Expectations,544,novel,"Following Pip, Great Expectations is a story about an orphan with dreams of rising above his humble beginnings, as he navigates love, ambition, and betrayal, ultimately leading him on a journey of self-discovery, redemption, and the realization of what truly matters in life.",Charles Dickens ,1861,,,Very Complex,Very Complex,Exceedingly Complex,Very complex ,,1150,9,9.2,9-12th grade,,"fiction, bildungsroman","Identity, social status, self-improvement","historical fiction, gothic, classic, redemption, coming of age ",
,Count of Monte Cristo,1167,novel,"An epic tale that follows a young sailor falsely imprisoned due to a conspiracy, who escapes after years of torment, discovers a hidden treasure, and transforms himself into the enigmatic Count of Monte Cristo to exact calculated revenge on those who wronged him. ","Alexandre Dumas, Auguste Maquet",1846,,,Very Complex,Very Complex,Very Complex,Very Complex,,1080,6,4.9,7-9th grade ,,"historical, fiction","betrayal vs. loyalty, social status, God's will","adventure, redemption, compassion, thought-provoking, empathy",
,Remains of the Day,256,novel,"Stevens, an English butler, takes a road trip across the English countryside, during which he reflects on his decades of loyal service to Lord Darlington, his interactions with the spirited housekeeper Miss Kenton, and the moments that shaped his life in the grandeur of Darlington Hall",Kazuo Ishiguro,1989,,,Very Complex,Very Complex,Very Complex,Moderately Complex,,1210,12,12,9-12th grade,,"historical, fiction","social status, dignity, lost opportunities ","romantic, classics, isolation, disillusionment, thought-provoking",
,Strange Case of Dr. Jekyll & Mr. Hyde,138,novella,"A London lawyer investigates the sinister connection between the well-respected Dr. Jekyll and the violent, malevolent Mr. Hyde, uncovering a shocking secret about their intertwined identities.",Robert Louis Stevenson,1886,,,Exceedingly Complex,Moderately Complex,Exceedingly Complex,Moderately Complex,,1010,9.5,9.4,9-12th grade,,"gothic, fiction","good vs. evil, identity, scientific curiosity","classics, science fiction, mystery, horror, novella, fantasy ",
,Picture of Dorian Gray ,240,novel,"Dorian Gray falls under the influence of a hedonistic aristocrat, makes a Faustian wish to stay eternally youthful while his portrait ages in his place, and descends into a life of indulgence and crime as his portrait reflects the consequences of his actions.",Oscar Wilde,1890,,,Very Complex,Very Complex,Very Complex,Moderately Complex,,920,9,7.7,9-12th grade,,"gothic, fiction","superficiality of beauty, moral corruption, good vs. evil ","horror, classics, fantasy, philosophical, psychological fiction, satire",
,Sound of Waves,192,novel,"A young fisherman falls in love with the daughter of a wealthy shipowner, but their budding romance faces challenges from jealous villagers and societal pressures before their love triumphs.",Yukio Mishima,1954,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,800,8,6,10-12th grade,,classic,"social class, love, nature as a force, nature ","coming of age, romantic, novella, historical ",Japanese
,Chronicle of a Death Foretold,128,novel,"Santiago Nasar is murdered by the Vicario brothers to avenge the dishonor of their sister and despite the widespread knowledge of their plan, Santiago is killed in broad daylight, and no one intervenes to stop the murder, even though it was foretold to many in the town.",Gabriel García Márquez,1981,,,Very Complex,Very Complex,Very Complex,Moderately Complex,,1210,9,4.9,11-12th grade,,classic,"honor, revenge, gender roles, fate and foreknowledge ","realism, mystery, magical realism, satire, tradegy, bewildering ",Latin America
,Marrow Thieves,240,novel,"Set in a dystopian future where climate change has ravaged the world, Indigenous people are hunted for their bone marrow, which is believed to cure the widespread epidemic of memory loss, and a young man  leads a group of Indigenous refugees on a perilous journey to escape the government's oppressive pursuit.",Cherie Dimaline,2017,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,810,8,6.5,10-12th grade,,"dystopian, fiction","indigenous oppression, identity, connection to nature ","science fiction, young adult, fantasy, bewildering, dark, thought-provoking ",Indigenous 
,The Hunger Games ,384,novel,"In a dystopian future, young tributes from each district must fight to the death in a televised competition known as the Hunger Games, where survival depends on strategy, alliances, and skill.",Suzanne Collins ,2008,,,Moderately Complex,Slightly complex ,Moderately Complex,Very Complex,,810,3.7,5.3,7-12th grade,,"dystopian, fiction","freedom vs. oppression, social status, appearance, rebellion","science fiction, thriller, adventure, coming of age, young adult ",
,The Outsiders,136,novel,"The Outsiders follows a group of teenage Greasers as they navigate conflicts with the wealthier Socs, culminating in a violent confrontation that changes their lives forever.",S.E. Hinton ,1967,,,Moderately Complex,Moderately Complex,Slightly complex ,Moderately Complex,,750,5,4.7,7-10th grade,,"fiction, bildungsroman","social status, loyalty, cycle of violence ","young adult, drama, coming of age, classic, realistic fiction, community ",
,Fish Cheeks,1,essay ,"A teenage protaganist feels embarrassed by her Chinese family's traditions when hosting her American crush for dinner, only to later realize the deep love and meaning behind her culture.",Amy Tan,1987,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,930,5.5,5.5,5-7th grade ,,Memoir ,"cultural identity, coming of age, self-consciousness ","autobiography, immigrant experience, empathy, family",Chinese American
,Alma and How She Got Her Name,32,picture book,"Alma learns the meaningful stories behind her long name, discovering how each part connects her to her family and heritage.",Juana Martinez-Neal,2018,,,Moderately Complex,Slightly complex ,Slightly complex ,slightly complex ,,440,1.5,2.4,K-2nd grade,,children's literature ,"self-discovery, cultural identity, legacy of heritage","realistic, family, coming of age, empowerment ",Latinx 
,To Build a Fire,24,short story ,"A man struggles to survive in the harsh Yukon wilderness as he faces the brutal cold and his own lack of preparation, ultimately succumbing to nature's unforgiving power.",Jack London ,1902,,,Moderately Complex,Slightly complex ,Slightly complex ,Moderately Complex,,620,5,5.7,5-6th grade ,,"adventure, fiction","survival, isolation, man vs. nature ","naturalism, pride, tradegy, hardship ",
,The Scarlet Ibis,36,short story ,"Brother reflects on his relationship with his disabled brother, Doodle, and the tragic events that unfold after his pride leads him to push Doodle beyond his limits.",James Hurst,1960,,,Moderately Complex,Slightly complex ,Moderately Complex,Moderately Complex,,940,6,6.3,6-7th grade ,,"realistic, fiction","fradgility of life, pride, consequences of selfishness ","coming of age, tradegy, family, regret ",
,Where the Wild Things Are,40,picture book,"Max gets sent to his room as punishment and imagines a fantastical adventure to an island inhabited by wild creatures, where he becomes their king before returning home to find comfort in his mother's love.",Maurice Sendak,1963,,,Moderately Complex,Slightly complex ,Slightly complex ,Moderately Complex,,740,2,3.3,1-2nd grade ,,children's literature ,"imagination, independence, the importance of a home and love ","self-expression, self-discovery, adventure, fantasy",
,All Summer in a Day,15,short story ,"A group of children are living on Venus, where the sun only shines for two hours every seven years, and tragic consequences unfold when they lock a classmate, Margot, in a closet and miss the rare glimpse of sunlight.",Ray Bradbury,1954,,,Moderately Complex,Slightly complex ,Moderately Complex,Moderately Complex,,820,5,5.3,5-6th grade ,,"science, fiction ","the cruelty of bullying, isolation, consequences of actions ","dystopian, psychological, regret, tradegy",
, The Party ,16,short story ,"Rocio is excited to attend her first birthday party with her best friend, but faces unexpected challenges and cultural differences that make her question what it means to truly belong.",Pam Muñoz Ryan,2009,,,Moderately Complex,Slightly complex ,Slightly complex ,Moderately Complex,,670,3,3.6,3-4th grade ,,"realistic, fiction ","cultural identity, expectations vs. reality, social belonging ","coming of age, family, personal growth, acceptance ",Mexican-American
,The Giving Tree,64,picture book,"A picture book that explores the unconditional love between a boy and a tree, where the tree gives everything it has to the boy as he grows older, ultimately teaching the themes of selflessness, sacrifice, and the passage of time.",Shel Silverstein ,1964,,,Moderately Complex,Slightly complex ,Slightly complex ,Moderately Complex,,530,2.3,2.6,K-3rd grade ,,children's literature ,"Greed vs. selflessness, the passage of time, unconditional love ","fable, allegory, fantasy, generosity, regret ",
,The House on Mango Street ,144,novel,"A coming-of-age novel that follows Esperanza Cordero, a young Latina girl growing up in Chicago, as she navigates the challenges of her neighborhood, identity, and aspirations for a better life.",Sandra Cisneros,1983,,,Moderately Complex,Slightly complex ,Slightly complex ,Moderately Complex,,860,5.5,5.6,6-8th grade ,,"fiction, bildungsroman","social status, gender, identity ","coming of age, belonging, self-discovery, hopeful",Latina
,The Last Dog ,16,short story ,"Brock, a boy raised in a sterile, controlled world, discovers the last surviving dog and begins to question the society he’s been taught to trust, leading him to reconsider ideas of freedom and survival.",Katherine Paterson,1992,,,Moderately Complex,Slightly complex ,Slightly complex ,Moderately Complex,,680,4.3,4.5,6-8th grade ,,"dystopian, fiction","freedom vs. control, isolation, the role of nature ","science, adventure, allegory, survival, bewildering ",
,The Last Stop on Market Street,32,picture book,"A young boy named CJ rides the bus with his grandmother, who helps him see the beauty and kindness in the world around them.",Matt de la Peña,2015,,,Moderately Complex,Slightly complex ,Slightly complex ,slightly complex ,,610,2.8,3.3,K-2nd grade,,children's literature ,"finding beauty in the everyday, gratitude, community ","realistic, coming of age, social awareness, kindness ",African American 
,The Invention of Hugo Cabret,526,picture book ,"An orphaned boy named Hugo, living in a Paris train station, unravels a mystery involving an automaton, a hidden message, and the origins of early filmmaking",Brian Selznick,2007,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,820,5,5.1,4-6th grade ,,"historical, fiction","identity, resilience, creativity, found family","adventure, coming of age, mystery",
,Tell Tale Heart,26,short story ,"A narrator, driven by madness, becomes obsessed with an old man's ""vulture eye,"" murders him, and is ultimately consumed by guilt, leading to his confession.",Edgar Allan Poe ,1843,,,Very Complex,very complex,Very complex,Very Complex,,1140,7.2,6.9,7-8th grade ,,"gothic, fiction","mortality, the nature of evil, guilt, madness","thriller, horror, suspense, unreliable narrator ",
,The Fall of the House of Usher,26,short story ,"A man visits his childhood friend, Roderick Usher, at his decaying family mansion, where both the house and its inhabitants are consumed by fear, madness, and death.",Edgar Allan Poe ,1839,,,Very Complex,very complex,very complex,Moderately Complex,,940,8.2,7.4,8-9th grade ,,"gothic, fiction ","madness, isolation, death, the supernatural ","psychological, horror, unreliable narrator, revenge ",
,The Lottery ,32,short story ,"A small town holds an annual lottery in which one resident is randomly selected to be stoned to death, revealing the dark, unquestioned traditions of society.",Shirley Jackson,1948,,,Moderately Complex ,Slightly complex ,Slightly complex ,Moderately Complex ,,760,6.7,6.2,6-8th grade ,,"dystopian, fiction","blind tradition, conformity, dark side of human nature ","psychological, horror, satire, sacrafice",
,Lamb to the Slaughter,17,short story,"A woman kills her husband with a frozen leg of lamb after he informs her he is leaving her, then cleverly covers up the crime by cooking and serving the lamb to the investigating detectives.",Roald Dahl ,1953,,,Moderately Complex ,Slighty complex ,Slightly Complex,Moderately Complex ,,910,7,6.3,6-8th grade ,,"crime, fiction ","deceit, gender, justice ","dark comedy, psychological, suspense, thriller",
,The Story of an Hour,32,short story,"After hearing about her husband's death, a woman experiences a complex range of emotions, including joy and relief, only to shockingly discover he is alive and dies from the shock.",Kate Chopin,1894,,,Moderately Complex,Slightly complex ,Slightly Complex,Moderately Complex,,880,6,6.4,6-8th grade ,,"realistic, fiction ","martial expectations, independence, death","psychological, emotional, feminist, irony ",
,Most Dangerous Game,28,short story ,"A shipwrecked man is hunted for sport on a secluded island by a sadistic hunter, only to turn the tables and become the hunter himself.",Richard Connell,1924,,,Moderately Complex ,Moderately Complex,Moderately Complex,Moderately Complex,,1030,7.6,7.6,7-9th grade ,,"adventure, fiction","survival, civilization vs. barbarism, power and control ","thriller, horror, suspense, violence ",
,The Monkey's Paw,27,short story ,"After a couple’s wish is granted by a cursed monkey's paw, they face tragic consequences, illustrating the dangers of tampering with fate.",W.W. Jacobs ,1902,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,1020,6.1,6.5,6-8th grade ,,"horror, fiction ","dangers of tempting fate, the supernatural, consequences of actions ","dark fantasy, greed, regret, morality ",
