Book_name,1st Recommendation,2nd Recommendation,3rd Recommendation,4th Recommendation,5th Recommendation,Comments
Seedfolks ,The Road,Marrow Thieves,The Diary of a Young Girl ,All my Rage,The Secret Life of Bees,coming of age; community; resilience; young adult
"The Lion, the Witch and the Wardrobe ",The Joy Luck Club,Canterbury Tales,I am Malala,Wuthering Heights,All Quiet on the Western Front ,allegory; classic; family; friendship
Warriors Don't Cry ,Huckleberry Finn,Ulysses ,Mother to Son,The Last of the Mohicans,See It Through,facing racism; history; overcoming adversity; relationships; resilience
Thirteen Reasons Why,A Sound of Thunder ,The Perks of Being a Wallflower ,Wonder,Everything I Never Told You,From the Mixed-Up Files of Mrs. Basil E. Frankweiler ,mystery; the butterfly effect; the cruelty of bullying; the power of words
The Highwayman,Treasure Island ,The Diary of a Young Girl ,The Pearl,Macbeth,A Dream Within a Dream,dark romanticism; death; gothic; tragedy
Hamlet,Long Way Down,We Real Cool,As I Lay Dying,Chronicle of a Death Foretold,An Ember in the Ashes,mortality; revenge; supernatural; tragedy
Alice's Adventures in Wonderland ,The Canterville Ghost,Rat Ode,Hatchet ,Speak,The Invention of Hugo Cabret,adventure; fantasy; identity
The Poisonwood Bible,How it Feels to Be Colored Me , The Party ,The Hate U Give,"Stamped: Racism, Antiracism, and You: A Remix of the National Book Award-winning Stamped from the Beginning",Hatchet ,coming of age; cultural identity; political
Eleanor and Park,Catcher in the Rye,The Maze Runner,This Is Just to Say,David Copperfield,Purple Hibiscus,coming of age; family; identity; love
Little Women,All Quiet on the Western Front ,Uncle Tom's Cabin,The Color Purple,East of Eden,A Total Stranger One Black Day,classic; family; family drama; identity
Fahrenheit 451,Bridge to Terabithia,Brave New World,The Hunger Games ,Im Nobody! Who are you? ,The Road Not Taken,individuality; oppression; science fiction
A Man Called Ove,They Called Us Enemy,Hatchet ,Seedfolks ,A Raisin in the Sun,The Road,community; morality; resilience
The Landlady ,Picture of Dorian Gray ,A Rose for Emily,Charles,All Summer in a Day,The Pedestrian,horror; isolation; suspense
Love that Dog,Anne of Green Gables ,The Joy Luck Club,The Book Thief ,A Man Called Ove,All American Boys ,coming of age; emotional; grief
The Screwtape Letters ,Adventures of Huckleberry Finn,"The Lady, or the Tiger?",The Hitchhiker's Guide to the Galaxy,To Build a Fire,Invictus,fate vs. free will; love vs. self-interest; pride; satire
Outliers ,In Cold Blood,The Hate U Give,We Wear the Mask,Brown Girl Dreaming,Fish Cheeks,community; cultural identity; narrative nonfiction; social status
The Fellowship of the Ring,The Alchemist ,Beowulf,The Rose that Grew from Concrete,Metamorphosis,Paradise Lost ,fantasy; fate vs. free will; good vs. evil; nature
Slaughterhouse-Five,Huckleberry Finn,All Quiet on the Western Front ,Twleve Angry Men,Chronicle of a Death Foretold,"Alas, Babylon",burdens of war; dark; human nature; pyschological; satire
Refugee,To Build a Fire,The House on Mango Street ,The Rose that Grew from Concrete,A Wrinkle in Time ,The Landlady ,family; hopeful; resilience; survival; suspense
Woman at Point Zero,Most Dangerous Game,Born a Crime,Persepolis,Daddy,Jacob Have I Loved,female agency; gender roles; power and control; self-worth; violence
The Hill We Climb,Prisoner B-3087,A Tree Grows in Brooklyn ,Petey,"The Lion, the Witch and the Wardrobe ",Still I Rise,bravery; hopeful; resilience
The Lightning Thief,Tattoo,Treasure Island ,Everything I Never Told You,I Know Why the Caged Bird Sings ,A Wrinkle in Time ,coming of age; fantasy; identity
The Joy Luck Club,Educated,Uncle Tom's Cabin,Code Talker ,Speak,I am Not Your Perfect Mexican Daughter ,coming of age; cultural identity; family; legacy of heritage; mother-daughter relationships
Twenty Thousand Leagues Under the Sea,The Old Man and the Sea,The Martian,Long Way Down,Things Fall Apart,Moby Dick,isolation; limits of knowledge; man vs nature; revenge
Letter from a Birmingham Jail ,The Boy in the Striped Pajamas ,The Hill We Climb,The Tortilla Curtain,Whale Talk,Anthem,political; prejudice
David Copperfield,One Hundred Years of Solitude,Hatchet ,I Know Why the Caged Bird Sings ,As I Lay Dying,Great Expectations,coming of age; family; resilience
